Ref,Val,Package,PosX,PosY,Rot,Side
"A401","PICO_W5500_EVB","Pico-W5500-EVB_Header_Holes",92.400000,-95.462500,180.000000,top
"C301","3.3uF_50V","C_1210_3225Metric",80.400000,-39.100000,-90.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",77.900000,-39.100000,-90.000000,top
"C303","1uF_25V","C_0402_1005Metric",79.900000,-45.600000,90.000000,top
"C304","1uF_25V","C_0402_1005Metric",76.400000,-47.100000,0.000000,top
"C305","47uF_10V","C_0805_2012Metric",76.400000,-49.100000,0.000000,top
"C501","0.1uF_100V","C_0402_1005Metric",117.400000,-44.600000,0.000000,top
"C502","1uF_35V","C_0402_1005Metric",119.400000,-44.600000,180.000000,top
"C601","0.1uF_100V","C_0402_1005Metric",117.400000,-64.600000,0.000000,top
"C602","1uF_35V","C_0402_1005Metric",119.400000,-64.600000,180.000000,top
"C701","0.1uF_100V","C_0402_1005Metric",117.400000,-84.610000,0.000000,top
"C702","1uF_35V","C_0402_1005Metric",119.400000,-84.610000,180.000000,top
"C801","0.1uF_100V","C_0402_1005Metric",117.400000,-104.610000,0.000000,top
"C802","1uF_35V","C_0402_1005Metric",119.400000,-104.610000,180.000000,top
"C901","0.1uF_100V","C_0402_1005Metric",117.400000,-144.610000,0.000000,top
"C902","1uF_35V","C_0402_1005Metric",119.400000,-144.610000,180.000000,top
"C1001","0.1uF_100V","C_0402_1005Metric",117.400000,-124.610000,0.000000,top
"C1002","1uF_35V","C_0402_1005Metric",119.400000,-124.610000,180.000000,top
"C1101","0.1uF_100V","C_0402_1005Metric",117.400000,-164.610000,0.000000,top
"C1102","1uF_35V","C_0402_1005Metric",119.400000,-164.610000,180.000000,top
"C1201","0.1uF_100V","C_0402_1005Metric",80.400000,-150.600000,90.000000,top
"C1202","0.1uF_100V","C_0402_1005Metric",81.900000,-150.600000,90.000000,top
"C1301","1uF_35V","C_0402_1005Metric",95.400000,-132.100000,180.000000,top
"C1302","1uF_35V","C_0402_1005Metric",95.400000,-111.100000,0.000000,top
"C1401","1uF_35V","C_0402_1005Metric",80.900000,-114.100000,0.000000,top
"C1402","0.22uF_25V","C_0402_1005Metric",78.400000,-104.600000,-90.000000,top
"C1403","0.22uF_25V","C_0402_1005Metric",80.400000,-104.600000,-90.000000,top
"C1404","0.22uF_25V","C_0402_1005Metric",83.400000,-107.100000,180.000000,top
"D301","D_50V_15A","POWERDI5_DIO",106.900000,-30.600000,90.000000,top
"D302","LED_RED","LED_0402-1005_KNB",108.400000,-24.100000,180.000000,top
"D401","D_SCHOTTKY_20V_1A","SOD-123FL",76.900000,-93.100000,180.000000,top
"D501","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-36.600000,180.000000,top
"D601","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-56.600000,180.000000,top
"D701","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-76.600000,180.000000,top
"D801","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-96.600000,180.000000,top
"D901","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-136.600000,180.000000,top
"D1001","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-116.600000,180.000000,top
"D1101","D_SCHOTTKY_20V_1A","SOD-123FL",120.400000,-156.600000,180.000000,top
"J501","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-41.600000,90.000000,top
"J601","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-61.600000,90.000000,top
"J701","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-81.600000,90.000000,top
"J801","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-101.600000,90.000000,top
"J901","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-141.600000,90.000000,top
"J1001","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-121.600000,90.000000,top
"J1101","Connector_USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",125.400000,-161.600000,90.000000,top
"R301","2.32k","R_0805_2012Metric",104.900000,-24.100000,0.000000,top
"R401","1.8k","R_0402_1005Metric",80.400000,-75.100000,0.000000,top
"R402","1.8k","R_0402_1005Metric",80.400000,-72.600000,0.000000,top
"R501","100","R_0402_1005Metric",121.900000,-47.100000,90.000000,top
"R502","4.7k","R_0402_1005Metric",113.400000,-44.600000,90.000000,top
"R601","100","R_0402_1005Metric",121.900000,-67.100000,90.000000,top
"R602","4.7k","R_0402_1005Metric",113.400000,-64.600000,90.000000,top
"R701","100","R_0402_1005Metric",121.900000,-87.100000,90.000000,top
"R702","4.7k","R_0402_1005Metric",113.400000,-84.600000,90.000000,top
"R801","100","R_0402_1005Metric",121.900000,-107.100000,90.000000,top
"R802","4.7k","R_0402_1005Metric",113.400000,-104.600000,90.000000,top
"R901","100","R_0402_1005Metric",121.900000,-147.100000,90.000000,top
"R902","4.7k","R_0402_1005Metric",113.400000,-144.600000,90.000000,top
"R1001","100","R_0402_1005Metric",121.900000,-127.100000,90.000000,top
"R1002","4.7k","R_0402_1005Metric",113.400000,-124.600000,90.000000,top
"R1101","100","R_0402_1005Metric",121.900000,-167.100000,90.000000,top
"R1102","4.7k","R_0402_1005Metric",113.400000,-164.600000,90.000000,top
"R1201","10.0k","R_0402_1005Metric",99.400000,-98.600000,90.000000,top
"R1202","10.0k","R_0402_1005Metric",97.400000,-98.600000,90.000000,top
"R1203","10.0k","R_0402_1005Metric",85.415000,-142.710000,180.000000,top
"R1204","10.0k","R_0402_1005Metric",85.415000,-145.250000,180.000000,top
"R1205","10.0k","R_0402_1005Metric",85.415000,-147.790000,180.000000,top
"R1206","10.0k","R_0402_1005Metric",85.415000,-150.330000,180.000000,top
"R1207","10.0k","R_0402_1005Metric",85.415000,-152.870000,180.000000,top
"R1208","10.0k","R_0402_1005Metric",85.415000,-155.410000,180.000000,top
"R1209","10.0k","R_0402_1005Metric",85.415000,-157.950000,180.000000,top
"R1210","10.0k","R_0402_1005Metric",85.415000,-160.490000,180.000000,top
"R1401","40k","R_0603_1608Metric",78.400000,-107.100000,-90.000000,top
"R1402","40k","R_0603_1608Metric",80.400000,-107.100000,-90.000000,top
"SP1401","Speaker_13x13mm_8Ohm_700mW","Speaker_13x13mm_KLJ-01304T-08R07W",80.900000,-121.600000,0.000000,top
"SW1201","SW_DIP_x08_SDA08H1SBDR","SW_DIP_SPSTx08_Slide_SDA08H1SBDR",92.400000,-151.600000,0.000000,top
"T301","TERM_BLK_HDR_2POS_90DEG_0.2IN","PHOENIX_1757242",123.480000,-20.600000,180.000000,top
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",76.400000,-44.100000,-90.000000,top
"U501","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-47.100000,0.000000,top
"U502","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-40.100000,90.000000,top
"U601","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-67.100000,0.000000,top
"U602","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-60.100000,90.000000,top
"U701","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-87.100000,0.000000,top
"U702","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-80.100000,90.000000,top
"U801","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-107.100000,0.000000,top
"U802","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-100.100000,90.000000,top
"U901","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-147.100000,0.000000,top
"U902","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-140.100000,90.000000,top
"U1001","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-127.100000,0.000000,top
"U1002","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-120.100000,90.000000,top
"U1101","Interface_RS485_MAX13431E","21-0137I_T1033-1_MXM",118.400000,-167.100000,0.000000,top
"U1102","TPS1H200AQDGNRQ1","SOP65P490X110-9N",115.400000,-160.100000,90.000000,top
"U1201","TCA6408ARGTR","QFN50P300X300X100-17N",76.400000,-151.600000,-90.000000,top
"U1301","MUX507","DW28_TEX",95.400000,-121.600000,180.000000,top
"U1401","TPA6204A1DRBR","DRB8_1P75X1P5",80.900000,-111.100000,-90.000000,top
